,citing,cited_id
1861,15,5973
1862,15,5989
1866,15,7194
1869,15,6951
1870,15,7776
1871,15,7872
1875,15,8336
1876,15,8463
1877,15,8689
1884,15,9132
1888,15,9815
1889,15,10079
1890,15,10094
1891,15,10127
1892,15,10126
1897,15,10543
1902,16,47
1903,16,379
1904,16,409
1905,16,406
1907,16,1361
1908,16,1433
1909,16,1434
1914,16,1657
1915,16,1662
1916,16,2460
1920,16,3397
1922,16,4063
1924,16,3738
1926,16,4554
1927,16,4581
1929,16,5047
1930,16,5954
1931,16,5978
1932,16,5517
1936,16,6604
1937,16,6167
1938,16,6844
1939,16,7126
1941,16,8366
1942,16,8367
1943,16,8443
1944,16,8738
1945,16,8739
1946,16,8908
1947,16,9507
1951,16,11213
1953,16,11383
1955,17,269
1956,17,407
1958,17,899
1968,17,2397
1970,17,2826
1972,17,4036
1973,17,4035
1974,17,4037
1977,17,4239
1980,17,4655
1981,17,5631
1984,17,7194
1985,17,7357
1989,17,7908
1992,17,9321
1997,17,10462
2001,17,10480
2003,17,11500
2008,18,410
2009,18,405
2010,18,407
2011,18,921
2012,18,1091
2014,18,1242
2015,18,1243
2017,18,1240
2019,18,777
2020,18,1681
2025,18,2066
2027,18,2109
2028,18,2403
2029,18,2435
2030,18,2830
2032,18,3965
2033,18,4034
2034,18,4035
2035,18,4158
2037,18,4996
2038,18,5603
2039,18,5905
2042,18,6621
2046,18,6986
2048,18,6823
2049,18,7098
2050,18,7272
2052,18,7493
2053,18,7664
2055,18,9239
2056,18,9339
2058,18,9511
2061,18,9763
2063,18,10049
2064,18,10364
2065,18,10463
2066,18,10478
2067,18,10614
2073,18,11442
2075,19,28
2076,19,260
2077,19,269
2079,19,392
2080,19,407
2082,19,855
2083,19,1267
2084,19,1319
2085,19,787
2087,19,2112
2088,19,2148
2089,19,2191
2091,19,2307
2092,19,1837
2093,19,2689
2094,19,2824
2095,19,2826
2096,19,2931
2097,19,3064
2100,19,3575
2101,19,3966
2102,19,3963
2103,19,4002
2104,19,4035
2105,19,4037
2106,19,4050
2108,19,4267
2110,19,4386
2111,19,4388
2112,19,4686
2113,19,5416
2115,19,5973
2116,19,6647
2118,19,7059
2119,19,7194
2120,19,7251
2121,19,7411
2122,19,7450
2123,19,7451
2124,19,7569
2126,19,7686
2127,19,7619
2129,19,8172
2130,19,8211
2131,19,8409
2132,19,8548
2134,19,8561
2135,19,8606
2139,19,9792
2140,19,10204
2141,19,10376
2142,19,10462
2143,19,10465
2144,19,10488
2148,19,11438
2149,19,11471
2151,20,179
2152,20,178
2155,20,269
2157,20,50
2158,20,379
2159,20,1151
2160,20,1267
2162,20,1411
2163,20,754
2164,20,1628
2165,20,1869
2168,20,2148
2169,20,1838
2170,20,2809
2171,20,2808
2172,20,2828
2174,20,2950
2175,20,3575
2178,20,4035
2180,20,4301
2182,20,4685
2183,20,4816
2189,20,5749
2190,20,6328
2191,20,7204
2192,20,6939
2193,20,7551
2194,20,8213
2195,20,8765
2196,20,8767
2197,20,8836
2198,20,8945
2199,20,8606
2201,20,9015
2202,20,9735
2204,20,10049
2208,20,10651
2212,20,11195
2214,20,11471
2217,21,414
2218,21,410
2219,21,405
2220,21,407
2221,21,408
2223,21,837
2224,21,899
2227,21,643
2228,21,1339
2229,21,787
2231,21,1643
2232,21,817
2233,21,815
2241,21,2435
2242,21,2581
2245,21,3017
2246,21,3019
2250,21,3458
2254,21,3624
2256,21,3736
2257,21,3738
2258,21,4186
2259,21,4535
2262,21,4636
2263,21,4713
2264,21,4772
2267,21,5043
2268,21,5046
2269,21,5126
2276,21,5954
2277,21,6311
2278,21,6402
2281,21,6693
2282,21,6823
2283,21,7272
2284,21,7414
2288,21,8565
2289,21,8566
2291,21,9511
2292,21,10614
2293,21,10958
2295,21,11056
2297,21,11064
2298,21,11070
2300,22,162
2301,22,194
2302,22,193
2303,22,346
2305,22,383
2306,22,410
2307,22,407
2310,22,1241
2311,22,1329
2312,22,1617
2313,22,1912
2315,22,2112
2316,22,2148
2317,22,2191
2318,22,2645
2319,22,2689
2322,22,2791
2323,22,2816
2324,22,2829
2325,22,2826
2326,22,2828
2327,22,2835
2328,22,2903
2329,22,2917
2330,22,2913
2331,22,2931
2334,22,3064
2335,22,3062
2336,22,3063
2338,22,3333
2339,22,3337
2340,22,3419
2341,22,3482
2342,22,3575
2343,22,3580
2344,22,3808
2345,22,3844
2346,22,3960
2347,22,4035
2348,22,4043
2350,22,4155
2351,22,4268
2352,22,4320
2353,22,4513
2354,22,4525
2356,22,4677
2358,22,4918
2359,22,6016
2360,22,6647
2361,22,6758
2365,22,7448
2366,22,7525
2367,22,7775
2368,22,8120
2369,22,8200
2370,22,8751
2374,22,9856
2376,22,9913
2377,22,10304
2378,22,10376
2379,22,10457
2382,22,11471
2384,23,414
2385,23,407
2386,23,896
2387,23,1083
2388,23,1347
2389,23,2112
2390,23,2826
2391,23,2599
2393,23,3575
2394,23,3801
2395,23,4036
2396,23,4037
2399,23,4792
2402,23,5314
2403,23,5562
2406,23,6410
2408,23,7767
2410,23,7821
2412,23,8593
2413,23,8598
2416,23,11232
2417,23,11500
2418,24,10
2420,24,179
2422,24,384
2423,24,407
2425,24,921
2426,24,1455
2427,24,1454
2428,24,1453
2429,24,1480
2430,24,1493
2435,24,2824
2436,24,2830
2437,24,3063
2440,24,4034
2441,24,4051
2442,24,4057
2445,24,4720
2446,24,4753
2447,24,5632
2448,24,5436
2449,24,6536
2450,24,6823
2451,24,7909
2453,24,8904
2454,24,8605
2455,24,9532
2457,24,10049
2459,24,10480
2460,25,222
2462,25,304
2464,25,47
2465,25,530
2466,25,915
2467,25,1133
2468,25,1433
2469,25,11588
2470,25,775
2471,25,1609
2472,25,812
2473,25,1657
2474,25,1658
2475,25,1660
2476,25,1668
2477,25,1670
2480,25,2058
2481,25,2208
2482,25,2458
2484,25,2503
2486,25,2563
2487,25,2589
2489,25,3379
2490,25,4048
2491,25,3737
2494,25,4559
2495,25,4554
2496,25,4802
2498,25,4840
2499,25,5045
2500,25,5265
2501,25,5580
2502,25,5428
2504,25,5611
2506,25,5474
2507,25,5481
2508,25,5846
2509,25,6327
2510,25,6137
2511,25,6508
2512,25,6554
2513,25,6167
2514,25,6795
2515,25,7125
2516,25,6844
2518,25,7371
2519,25,7419
2522,25,7469
2525,25,7680
2526,25,7706
2528,25,7912
2530,25,7886
2531,25,7966
2532,25,7884
2533,25,8265
2534,25,8329
2535,25,8366
2536,25,8715
2537,25,8738
2538,25,8740
2539,25,8739
2542,25,8565
2543,25,8801
2544,25,8566
2546,25,9072
2548,25,9430
