source,target,p
32,206,0.0506390161563
32,344,0.0506390161563
32,362,0.143557591833
32,375,0.143557591833
32,377,0.197492163009
32,415,0.0506390161563
32,460,0.0267663371112
32,490,0.197492163009
32,704,0.0506390161563
32,705,0.0506390161563
32,1008,0.00852021541677
32,1180,0.00852021541677
32,1203,0.0267663371112
34,67,0.00852021541677
34,68,0.0506390161563
34,73,0.0267663371112
34,114,0.0267663371112
34,168,0.130616509927
34,337,0.130616509927
34,352,0.224821155856
34,354,0.197492163009
34,383,0.130616509927
34,385,0.130616509927
34,458,0.27972027972
34,463,0.231171127723
34,682,0.79471103609
34,703,0.130616509927
34,756,0.640864882244
34,1055,0.00852021541677
34,1126,0.0506390161563
34,1159,0.0777268708303
34,1165,0.0927578168957
34,1171,0.0267663371112
35,36,0.0927578168957
35,43,0.350293384776
35,91,0.504461056185
35,100,0.655333172575
35,112,0.0927578168957
35,133,0.350293384776
35,135,0.617635238325
35,139,0.0927578168957
35,159,0.231171127723
35,183,0.350293384776
35,190,0.771802909734
35,206,0.431556948798
35,223,0.231171127723
35,227,0.0927578168957
35,228,0.655333172575
35,229,0.570291777188
35,252,0.350293384776
35,266,0.350293384776
35,279,0.350293384776
35,281,0.839723494896
35,284,0.431556948798
35,293,0.350293384776
35,307,0.570291777188
35,326,0.350293384776
35,333,0.350293384776
35,354,0.721163893578
35,355,0.231171127723
35,371,0.721163893578
35,391,0.431556948798
35,399,0.655333172575
35,401,0.407121614018
35,404,0.655333172575
35,427,0.504461056185
35,428,0.752431476569
35,434,0.693191865606
35,472,0.0927578168957
35,473,0.570291777188
35,482,0.911100393859
35,509,0.721163893578
35,528,0.570291777188
35,537,0.81239450205
35,544,0.655333172575
35,545,0.921710473435
35,551,0.570291777188
35,561,0.407121614018
35,565,0.771802909734
35,611,0.350293384776
35,612,0.504461056185
35,617,0.721163893578
35,633,0.721163893578
35,636,0.862310103689
35,646,0.431556948798
35,649,0.827425448115
35,655,0.721163893578
35,659,0.655333172575
35,682,0.878627120006
35,689,0.350293384776
35,758,0.957881199261
35,986,0.231171127723
35,1020,0.0927578168957
35,1051,0.0927578168957
35,1072,0.504461056185
35,1112,0.0927578168957
35,1146,0.504461056185
35,1205,0.655333172575
36,43,0.0267663371112
36,91,0.0777268708303
36,133,0.0267663371112
36,139,0.0
36,183,0.0267663371112
36,227,0.0
36,228,0.143557591833
36,229,0.0927578168957
36,293,0.0267663371112
36,355,0.00852021541677
36,401,0.27972027972
36,434,0.173941001527
36,537,0.27972027972
36,561,0.27972027972
36,611,0.0267663371112
36,617,0.197492163009
36,1020,0.0
36,1051,0.0
36,1112,0.0
37,97,0.0267663371112
37,154,0.300136644964
37,193,0.0927578168957
37,194,0.0267663371112
37,197,0.173941001527
37,242,0.0267663371112
37,281,0.231171127723
37,299,0.300136644964
37,300,0.231171127723
37,332,0.617635238325
37,357,0.231171127723
37,375,0.431556948798
37,385,0.0889799855317
37,462,0.617635238325
37,484,0.229000884173
37,489,0.350293384776
37,491,0.593280282935
37,513,0.504461056185
37,530,0.350293384776
37,599,0.431556948798
37,667,0.504461056185
37,682,0.959890684029
37,691,0.550759585242
37,695,0.173941001527
37,703,0.407121614018
37,752,0.173941001527
37,1044,0.350293384776
37,1066,0.0267663371112
37,1091,0.173941001527
38,49,0.0
38,668,0.0267663371112
41,66,0.0927578168957
41,72,0.0506390161563
41,80,0.0927578168957
41,87,0.197492163009
41,222,0.0927578168957
41,294,0.0506390161563
41,381,0.0506390161563
41,395,0.0927578168957
41,420,0.350293384776
41,554,0.0506390161563
41,560,0.422634836428
41,613,0.617635238325
41,619,0.383248934973
41,630,0.0927578168957
41,666,0.383248934973
41,720,0.197492163009
41,1082,0.143557591833
42,107,0.173941001527
42,221,0.130616509927
42,281,0.322080218632
42,593,0.589502451571
42,664,0.224821155856
42,739,0.502692709589
42,999,0.0506390161563
42,1048,0.0506390161563
42,1091,0.0267663371112
42,1128,0.0
43,55,0.0927578168957
43,91,0.0479061168716
43,133,0.0244353347802
43,139,0.0267663371112
43,183,0.173941001527
43,206,0.231171127723
43,227,0.0267663371112
43,228,0.0927578168957
43,229,0.350293384776
43,281,0.655333172575
43,284,0.231171127723
43,292,0.407121614018
43,293,0.173941001527
43,351,0.0927578168957
43,355,0.0927578168957
43,368,0.617635238325
43,378,0.231171127723
43,401,0.617635238325
43,433,0.550759585242
43,434,0.129330439675
43,476,0.173941001527
43,507,0.431556948798
43,508,0.473997267101
43,518,0.407121614018
43,520,0.504461056185
43,537,0.221284462664
43,561,0.617635238325
43,566,0.504461056185
43,611,0.173941001527
43,617,0.504461056185
43,649,0.640864882244
43,650,0.693191865606
43,651,0.473997267101
43,655,0.504461056185
43,657,0.570291777188
43,658,0.617635238325
43,1020,0.0267663371112
43,1051,0.0267663371112
43,1112,0.0267663371112
44,263,0.0267663371112
44,349,0.0506390161563
44,456,0.0506390161563
44,457,0.0777268708303
44,659,0.143557591833
45,320,0.0267663371112
45,442,0.130616509927
45,445,0.130616509927
45,669,0.197492163009
46,315,0.0267663371112
46,394,0.00852021541677
47,81,0.0927578168957
47,136,0.231171127723
47,181,0.173941001527
47,243,0.350293384776
47,245,0.350293384776
47,246,0.0267663371112
47,356,0.473997267101
47,360,0.350293384776
47,416,0.0927578168957
47,537,0.617635238325
47,593,0.874447391689
47,700,0.550759585242
47,715,0.231171127723
47,1102,0.0267663371112
47,1137,0.300136644964
47,1153,0.0267663371112
47,1165,0.350293384776
48,397,0.00852021541677
48,399,0.143557591833
48,545,0.470701712081
48,647,0.0506390161563
49,668,0.0267663371112
51,56,0.46394984326
51,70,0.300136644964
51,75,0.14098545133
51,87,0.46394984326
51,118,0.504461056185
51,149,0.46394984326
51,163,0.300136644964
51,168,0.172092275541
51,173,0.197492163009
51,192,0.126517161
51,216,0.197492163009
51,237,0.197492163009
51,273,0.46394984326
51,288,0.560726629692
51,299,0.46394984326
51,332,0.142753797926
51,337,0.560726629692
51,340,0.504461056185
51,362,0.596254320392
51,382,0.799614178925
51,385,0.560726629692
51,414,0.640864882244
51,437,0.596254320392
51,440,0.560726629692
51,448,0.560726629692
51,455,0.383248934973
51,458,0.760469415642
51,459,0.678723575275
51,470,0.0479061168716
51,521,0.703158910055
51,531,0.504461056185
51,540,0.504461056185
51,542,0.46394984326
51,554,0.197492163009
51,555,0.383248934973
51,563,0.279238003376
51,585,0.560726629692
51,633,0.678723575275
51,635,0.300136644964
51,637,0.560726629692
51,641,0.678723575275
51,670,0.721163893578
51,679,0.504461056185
51,690,0.347882003054
51,692,0.784583232859
51,694,0.300136644964
51,729,0.640864882244
51,730,0.344345309863
51,742,0.46394984326
51,750,0.596254320392
51,1078,0.0251587492967
51,1079,0.0479061168716
51,1080,0.197492163009
51,1115,0.300136644964
51,1130,0.300136644964
51,1142,0.300136644964
51,1173,0.0777268708303
51,1174,0.300136644964
51,1176,0.0777268708303
51,1202,0.0777268708303
52,689,0.0267663371112
52,742,0.0777268708303
53,163,0.0927578168957
53,168,0.27972027972
53,225,0.27972027972
53,329,0.350293384776
53,332,0.485411140584
53,382,0.535407121614
53,383,0.27972027972
53,640,0.197492163009
53,652,0.231171127723
53,758,0.787637649707
53,853,0.0506390161563
53,967,0.143557591833
53,1013,0.00852021541677
53,1055,0.0506390161563
53,1094,0.231171127723
53,1169,0.0927578168957
54,478,0.0506390161563
54,519,0.0506390161563
54,582,0.130616509927
54,606,0.0927578168957
54,607,0.130616509927
54,1189,0.0267663371112
55,91,0.197492163009
55,133,0.0927578168957
55,200,0.143557591833
55,206,0.143557591833
55,215,0.0506390161563
55,228,0.322080218632
55,284,0.143557591833
55,292,0.27972027972
55,330,0.197492163009
55,351,0.0506390161563
55,368,0.485411140584
55,378,0.143557591833
55,433,0.422634836428
