source,target,p
21,318,0.197367458867
21,395,0.339890310786
21,538,0.570457038391
21,559,0.392248628885
21,592,0.415648994516
21,720,0.517440585009
21,752,0.379085923218
21,842,0.744277879342
21,847,0.692577696527
21,882,0.875612431444
21,932,0.822595978062
21,934,0.351517367459
21,951,0.501060329068
21,1011,0.507129798903
21,1033,0.8360511883
21,1047,0.698720292505
21,1063,0.321462522852
21,1087,0.276928702011
21,1111,0.121096892139
21,1128,0.868080438757
21,1135,0.399049360146
22,23,0.627641681901
22,65,0.834223034735
22,98,0.493601462523
22,367,0.616087751371
22,495,0.58676416819
22,613,0.188007312614
22,676,0.605557586837
22,731,0.123729433272
22,773,0.108007312614
22,774,0.919195612431
22,798,0.960877513711
22,827,0.047239488117
22,843,0.185740402194
22,847,0.922047531993
22,891,0.869031078611
22,892,0.382961608775
22,920,0.136087751371
22,961,0.675173674589
22,996,0.99634369287
22,1003,0.284606946984
22,1046,0.409360146252
22,1054,0.102449725777
22,1089,0.315173674589
